worlds,resolvers,local_legitimate_per_world,minimum_obstruction_worlds,common_resolver,source_type
4,2,1,2,false,controlled_theorem
8,4,3,4,false,controlled_theorem
16,8,7,8,false,controlled_theorem
32,16,15,16,false,controlled_theorem
64,32,31,32,false,controlled_theorem
128,64,63,64,false,controlled_theorem
256,128,127,128,false,controlled_theorem
10000,5000,4999,5000,false,controlled_theorem
