worlds,n,cheapest_unresolved,cost,worst_incompatible_pairs,dataset_type
200,100,q,1,9900,controlled_theorem_stress
1000,500,q,1,249500,controlled_theorem_stress
2000,1000,q,1,999000,controlled_theorem_stress
5000,2500,q,1,6247500,controlled_theorem_stress
10000,5000,q,1,24995000,controlled_theorem_stress
